Radius,NumDensity_Mg
34775500,1.65E+21
69551000,1.65E+21
104326500,1.47E+21
139102000,1.65E+21
173877500,2.38E+21
208653000,2.21E+21
243428500,2.16E+21
278204000,2.38E+21
312979500,2.29E+21
347755000,2.38E+21
382530500,2.41E+21
417306000,2.39E+21
452081500,2.43E+21
486857000,2.43E+21
521632500,2.44E+21
556408000,2.46E+21
591183500,2.45E+21
625959000,2.47E+21
660734500,2.47E+21
695510000,2.46E+21
730285500,2.49E+21
765061000,2.49E+21
799836500,2.48E+21
834612000,2.49E+21
869387500,2.50E+21
904163000,2.49E+21
938938500,2.50E+21
973714000,2.50E+21
1008489500,2.49E+21
1043265000,2.50E+21
1078040500,2.49E+21
1112816000,2.50E+21
1147591500,2.49E+21
1182367000,2.49E+21
1217142500,2.49E+21
1251918000,2.49E+21
1286693500,2.49E+21
1321469000,2.49E+21
1356244500,2.48E+21
1391020000,2.48E+21
1425795500,2.49E+21
1460571000,2.48E+21
1495346500,2.48E+21
1530122000,2.48E+21
1564897500,2.47E+21
1599673000,2.47E+21
1634448500,2.47E+21
1669224000,2.47E+21
1703999500,2.46E+21
1738775000,2.46E+21
1773550500,2.46E+21
1808326000,2.45E+21
1843101500,2.45E+21
1877877000,2.44E+21
1912652500,2.44E+21
1947428000,2.44E+21
1982203500,2.43E+21
2016979000,2.43E+21
2051754500,2.43E+21
2086530000,2.42E+21
2121305500,2.41E+21
2156081000,2.41E+21
2190856500,2.40E+21
2225632000,2.40E+21
2260407500,2.39E+21
2295183000,2.39E+21
2329958500,2.39E+21
2364734000,2.38E+21
2399509500,2.38E+21
2434285000,2.37E+21
2469060500,2.37E+21
2503836000,2.36E+21
2538611500,2.36E+21
2573387000,2.34E+21
2608162500,2.35E+21
2642938000,2.34E+21
2677713500,2.33E+21
2712489000,2.33E+21
2747264500,2.32E+21
2782040000,2.32E+21
2816815500,2.31E+21
2851591000,2.31E+21
2886366500,2.31E+21
2921142000,2.29E+21
2955917500,2.29E+21
2990693000,2.27E+21
3025468500,2.27E+21
3060244000,2.27E+21
3095019500,2.26E+21
3129795000,2.26E+21
3164570500,2.25E+21
3199346000,2.24E+21
3234121500,2.25E+21
3268897000,2.22E+21
3303672500,2.22E+21
3338448000,2.23E+21
3373223500,2.22E+21
3407999000,2.20E+21
3442774500,2.20E+21
3477550000,2.20E+21
3512325500,2.18E+21
3547101000,2.18E+21
3581876500,2.17E+21
3616652000,2.16E+21
3651427500,2.18E+21
3686203000,2.14E+21
3720978500,2.15E+21
3755754000,2.13E+21
3790529500,2.13E+21
3825305000,2.14E+21
3860080500,2.11E+21
3894856000,2.11E+21
3929631500,2.10E+21
3964407000,2.10E+21
3999182500,2.09E+21
4033958000,2.08E+21
4068733500,2.07E+21
4103509000,2.07E+21
4138284500,2.06E+21
4173060000,2.06E+21
4207835500,2.04E+21
4242611000,2.04E+21
4277386500,2.04E+21
4312162000,2.02E+21
4346937500,2.02E+21
4381713000,2.01E+21
4416488500,2.01E+21
4451264000,2.00E+21
4486039500,2.00E+21
4520815000,1.98E+21
4555590500,1.98E+21
4590366000,1.97E+21
4625141500,1.96E+21
4659917000,1.96E+21
4694692500,1.95E+21
4729468000,1.94E+21
4764243500,1.94E+21
4799019000,1.93E+21
4833794500,1.92E+21
4868570000,1.91E+21
4903345500,1.91E+21
4938121000,1.90E+21
4972896500,1.90E+21
5007672000,1.88E+21
5042447500,1.88E+21
5077223000,1.87E+21
5111998500,1.87E+21
5146774000,1.86E+21
5181549500,1.85E+21
5216325000,1.84E+21
5251100500,1.84E+21
5285876000,1.83E+21
5320651500,1.82E+21
5355427000,1.81E+21
5390202500,1.81E+21
5424978000,1.80E+21
5459753500,1.79E+21
5494529000,1.79E+21
5529304500,1.78E+21
5564080000,1.78E+21
5598855500,1.76E+21
5633631000,1.76E+21
5668406500,1.75E+21
5703182000,1.74E+21
5737957500,1.74E+21
5772733000,1.73E+21
5807508500,1.72E+21
5842284000,1.72E+21
5877059500,1.71E+21
5911835000,1.71E+21
5946610500,1.69E+21
5981386000,1.69E+21
6016161500,1.69E+21
6050937000,1.68E+21
6085712500,1.67E+21
6120488000,1.66E+21
