Radius,Escape_Velocity
34775500.0,2.1217708434363043e-05
69551000.0,2.1217708434363043e-05
104326500.0,2.1217284298405256e-05
139102000.0,2.1216907288665002e-05
173877500.0,2.1216483152707216e-05
208653000.0,2.1215906327804628e-05
243428500.0,2.1215222997650415e-05
278204000.0,2.121444397242183e-05
312979500.0,2.1213542683511534e-05
347755000.0,2.1212537324204187e-05
382530500.0,2.121141760527563e-05
417306000.0,2.1210183755216618e-05
452081500.0,2.120884065801696e-05
486857000.0,2.1207385043487277e-05
521632500.0,2.120581833719423e-05
556408000.0,2.1204140643850098e-05
591183500.0,2.1202351320278185e-05
625959000.0,2.1200452247858202e-05
660734500.0,2.1198441529243508e-05
695510000.0,2.119631967456273e-05
730285500.0,2.1194088719424772e-05
765061000.0,2.119174587318176e-05
799836500.0,2.118929219408713e-05
834612000.0,2.118672973941589e-05
869387500.0,2.118405679926526e-05
904163000.0,2.1181273110147117e-05
938938500.0,2.1178380703689432e-05
973714000.0,2.1175378589091107e-05
1008489500.0,2.1172266816094694e-05
1043265000.0,2.1169046207026415e-05
1078040500.0,2.1165716268495617e-05
1112816000.0,2.1162278163281093e-05
1147591500.0,2.115873099497789e-05
1182367000.0,2.1155076181545504e-05
1217142500.0,2.115131325906881e-05
1251918000.0,2.1147442369266322e-05
1286693500.0,2.1143464131069675e-05
1321469000.0,2.1139378298336814e-05
1356244500.0,2.1135185109324794e-05
1391020000.0,2.1130885748248428e-05
1425795500.0,2.112648003598692e-05
1460571000.0,2.112196769364959e-05
1495346499.9999998,2.1117349324331473e-05
1530122000.0,2.111262533519429e-05
1564897500.0,2.1107795968947678e-05
1599673000.0,2.1102861749247165e-05
1634448500.0,2.10978226292194e-05
1669224000.0,2.1092679236717284e-05
1703999500.0,2.1087431658760402e-05
1738775000.0,2.1082080585693652e-05
1773550500.0,2.1076625857967755e-05
1808326000.0,2.107106789949594e-05
1843101500.0,2.1065407315751635e-05
1877877000.0,2.1059643958859963e-05
1912652500.0,2.1053778490192717e-05
1947428000.0,2.1047811703475508e-05
1982203500.0,2.1041743151043786e-05
2016979000.0,2.1035573924483904e-05
2051754500.0,2.1029304176294603e-05
2086530000.0,2.102293397343767e-05
2121305500.0,2.1016463308139466e-05
2156081000.0,2.1009893703177636e-05
2190856500.0,2.1003224485219146e-05
2225632000.0,2.0996456903912363e-05
2260407500.0,2.0989590788900425e-05
2295183000.0,2.098262712899043e-05
2329958500.0,2.09755659858181e-05
2364734000.0,2.0968407356952508e-05
2399509500.0,2.0961151917017192e-05
2434285000.0,2.095379951439841e-05
2469060500.0,2.0946351513862962e-05
2503836000.0,2.093880776659553e-05
2538611500.0,2.0931168901272485e-05
2573387000.0,2.0923435284694102e-05
2608162500.0,2.0915608597598717e-05
2642938000.0,2.0907687472152076e-05
2677713500.0,2.0899672506814062e-05
2712489000.0,2.089156506464173e-05
2747264500.0,2.0883364823937834e-05
2782040000.0,2.0875073614977435e-05
2816815500.0,2.0866690965399246e-05
2851591000.0,2.085821716725589e-05
2886366500.0,2.084965282526712e-05
2921142000.0,2.0840997225610672e-05
2955917500.0,2.0832251946100125e-05
2990692999.9999995,2.0823416651088e-05
3025468500.0,2.08144937389074e-05
3060244000.0,2.0805482712999128e-05
3095019500.0,2.0796383178353134e-05
3129795000.0,2.0787196439556837e-05
3164570500.0,2.0777922523571217e-05
3199346000.0,2.0768562030952795e-05
3234121500.0,2.0759116386872114e-05
3268897000.0,2.0749583846629057e-05
3303672500.0,2.073996734620093e-05
3338448000.0,2.0730266593166657e-05
3373223500.0,2.072048099977428e-05
3407999000.0,2.0710611510653058e-05
3442774500.0,2.070066021411913e-05
3477550000.0,2.0690625748491177e-05
3512325500.0,2.068050790039099e-05
3547101000.0,2.067030926211186e-05
3581876500.0,2.06600296316963e-05
3616652000.0,2.0649669504247836e-05
3651427500.0,2.0639229861937766e-05
3686203000.0,2.0628708289494892e-05
3720978500.0,2.061810911832055e-05
3755754000.0,2.0607430553696937e-05
3790529500.0,2.059667537633254e-05
